status,length,vowels,subdomain,paths,https,num_letter_ratio_path,num_letter_ratio_domain,special_char,domain_length,sensitive_keywords,suspicious_tld,rand_numstring,hyphens,domain_age
1,37,0.36363636363636365,1,['php'],False,0.0,0.8947368421052632,7,19,0,,False,0,
0,77,0.8275862068965517,0,[],False,1.588235294117647,0.9565217391304348,7,23,0,,False,0,
0,126,0.5172413793103449,3,[],True,0.8888888888888888,0.9,19,50,1,,False,3,
1,18,0.3,1,[],False,0.0,0.8181818181818182,5,11,0,,False,0,
1,55,0.36363636363636365,1,[],False,0.0,0.8666666666666667,10,15,0,,False,2,
0,32,0.5,2,[],False,0.0,0.8333333333333334,8,24,0,,False,1,
1,19,0.4,1,[],False,0.0,0.8333333333333334,5,12,0,,False,0,
0,81,0.40540540540540543,1,[],False,1.0952380952380953,0.9259259259259259,8,27,0,,True,0,
1,42,0.6363636363636364,1,[],False,0.0,0.9411764705882353,6,34,0,,False,0,
1,104,0.5918367346938775,0,[],True,8.0,0.9,18,10,0,,True,10,
1,56,0.5666666666666667,1,['asp'],True,0.0,0.9090909090909091,9,22,0,,False,1,
1,43,0.3,1,[],True,0.875,0.875,9,16,0,,True,3,
1,83,0.5227272727272727,0,[],True,49.0,0.9285714285714286,15,14,0,,False,9,
0,31,0.35294117647058826,0,['html'],False,5.0,0.9,6,10,0,,False,0,
1,25,0.26666666666666666,1,[],True,0.0,0.875,6,16,0,,False,0,
0,51,0.48148148148148145,2,[],False,4.0,0.8695652173913043,10,23,0,,False,0,
1,31,0.3157894736842105,1,[],True,0.0,0.9090909090909091,6,22,0,,False,0,
0,50,0.6956521739130435,1,[],False,5.333333333333333,0.9047619047619048,8,21,0,,False,0,
0,34,0.22727272727272727,1,[],False,0.0,0.9130434782608695,7,23,0,,False,0,
1,27,0.3076923076923077,1,[],False,0.0,0.6842105263157895,6,19,0,,False,0,
1,63,0.42857142857142855,2,[],False,0.0,0.7857142857142857,13,14,0,,False,2,
1,66,0.4473684210526316,1,[],True,0.0,0.875,11,16,0,,False,4,
0,40,0.2727272727272727,0,['php'],False,3.5,0.9090909090909091,8,11,0,,False,0,
1,48,0.4444444444444444,0,[],False,0.0,0.875,9,16,0,,False,3,
0,126,0.391304347826087,3,[],False,1.8333333333333333,0.9,18,50,1,,False,3,
0,41,0.34615384615384615,1,[],True,0.0,0.9375,6,32,0,,False,0,
1,36,0.36363636363636365,1,[],True,0.0,0.9259259259259259,6,27,0,,False,0,
1,72,0.425,1,[],False,0.0,0.8333333333333334,15,24,0,,False,7,
0,68,0.5483870967741935,3,[],False,0.5454545454545454,0.9047619047619048,9,42,1,,False,0,
0,163,0.4423076923076923,1,[],False,0.6111111111111112,0.8571428571428571,23,14,0,,True,9,
1,26,0.42857142857142855,1,[],False,0.0,0.8888888888888888,6,18,0,,False,0,
0,64,0.5217391304347826,1,[],False,0.7272727272727273,0.8823529411764706,7,17,0,,True,0,
0,36,0.26666666666666666,3,[],False,0.0,0.5357142857142857,8,28,0,,True,0,
0,61,0.3783783783783784,0,['html'],False,0.0,0.9285714285714286,10,14,0,,False,1,
1,66,0.6538461538461539,1,[],True,0.0,0.8823529411764706,9,17,0,,True,0,
